MonthNumeric,MonthFactor,Year,ElantraSales,Unemployment,ElantraQueries,CPI.All,CPI.Energy,zzzSales,zzzQueries
1,January,2014,15326,6.6,67,235.385,251.02,11118,61
2,February,2014,16393,6.7,67,235.672,251.142,14232,61
3,March,2014,21518,6.7,65,235.978,249.372,16863,61
4,April,2014,20225,6.2,65,236.471,249.746,17246,58
5,May,2014,21867,6.3,66,236.832,247.807,18326,58
6,June,2014,17168,6.1,69,237.029,247.499,15406,54
7,July,2014,22213,6.2,71,237.424,247.841,17488,59
8,August,2014,22845,6.2,70,237.256,243.506,19847,58
9,September,2014,18848,5.9,65,237.486,242.074,16763,57
10,October,2014,12758,5.7,61,237.506,238.269,18564,58
11,November,2014,14002,5.8,61,237.118,231.238,22544,61
12,December,2014,18860,5.6,58,236.29,219.295,23436,61
1,January,2015,12240,5.7,63,234.913,201.027,12621,62
2,February,2015,15708,5.5,65,235.489,204.326,15157,65
3,March,2015,28794,5.4,78,235.989,205.603,17395,66
4,April,2015,21911,5.4,71,236.201,202.989,18082,65
5,May,2015,23432,5.5,72,236.891,207.89,18977,63
6,June,2015,26613,5.3,77,237.419,209.598,18618,68
7,July,2015,22135,5.2,83,237.876,210.487,19808,74
8,August,2015,22405,5.1,83,237.811,206.632,21241,76
9,September,2015,20724,5,73,237.467,197.451,19754,71
10,October,2015,15868,5,71,237.792,196.789,18521,71
11,November,2015,17634,5,66,238.153,196.882,16527,69
12,December,2015,14242,5,67,237.846,191.002,27438,73
1,January,2016,9885,4.9,72,238.106,188.263,14381,85
2,February,2016,11973,4.9,80,237.808,179.166,15202,88
3,March,2016,17505,5,80,238.078,180.818,21548,88
4,April,2016,12361,5,79,238.908,185.734,20531,83
5,May,2016,22168,4.7,87,239.362,187.108,17642,83
6,June,2016,22414,4.9,91,239.842,189.603,17162,83
7,July,2016,20629,4.9,89,239.898,187.595,22428,88
8,August,2016,20733,4.9,93,240.389,187.504,17478,96
9,September,2016,19382,4.9,81,241.006,192.003,18068,89
10,October,2016,15917,4.8,78,241.694,196.813,15050,88
11,November,2016,15796,4.6,79,242.199,198.73,18900,88
12,December,2016,19556,4.7,81,242.821,201.148,23290,93
1,January,2017,13185,4.8,79,244.158,209.138,13732,93
2,February,2017,15954,4.7,85,244.456,207.102,17618,93
3,March,2017,25063,4.5,91,243.752,200.478,18460,94
4,April,2017,16346,4.4,91,244.158,202.761,17400,90
5,May,2017,16407,4.3,90,243.846,197.25,16200,90
6,June,2017,13297,4.3,96,243.79,194.187,15473,93
7,July,2017,13287,4.3,100,244.048,193.964, 19963,100
8,August,2017,15127,4.4,99,245.03,199.477,17254,94
9,September,2017,14401,4.2,85,246.373,211.55, 18106,91
10,October,2017,14733,4.1,84,246.639,209.469, 18895,93
11,November,2017,19060,4.1,81,247.592,217.636, 18136,94
12,December,2017,21350,4.1,87,247.963,215.121, 26436,100
